Age,Gender,Income,EmploymentType,Education,HousingType,FamilyStatus,EmploymentYears,CreditScore,LoanAmount,PaymentHistory,Dependents,Approved
28,Male,1755144,Government,High School,Owned,Single,6,858,91161,Good,0,1
22,Male,658517,Business,Post Graduate,With Parents,Single,35,503,750800,Good,4,0
47,Male,1142059,Government,High School,Owned,Divorced,27,648,291369,Good,2,0
27,Male,996765,Working,Graduate,Rented,Divorced,16,344,765179,Good,0,0
45,Male,1357713,Government,Post Graduate,With Parents,Married,12,371,48050,Good,2,0
26,Male,411815,Student,Graduate,Rented,Divorced,23,466,388162,Good,5,0
38,Male,1477440,Business,Post Graduate,With Parents,Single,10,773,397887,Good,5,1
56,Male,1635740,Government,High School,Owned,Single,20,710,280746,Good,4,1
41,Male,1574554,Student,Graduate,With Parents,Married,9,571,146413,Good,4,0
55,Female,1766601,Student,Post Graduate,Rented,Married,14,441,534277,Good,0,0
28,Male,1515849,Business,Post Graduate,Rented,Divorced,4,694,400156,Good,3,1
54,Female,1360198,Working,Post Graduate,With Parents,Single,34,573,805934,Good,0,0
39,Female,531680,Student,High School,With Parents,Divorced,16,812,798975,Good,0,0
40,Male,520527,Government,High School,With Parents,Divorced,0,631,512340,Good,2,0
40,Male,321477,Business,Post Graduate,Owned,Single,31,370,797549,Good,1,0
29,Female,1353021,Business,Graduate,With Parents,Divorced,27,516,974036,Good,5,0
33,Female,1036747,Government,Graduate,With Parents,Married,7,553,235612,Good,0,0
58,Male,1434048,Business,High School,Owned,Divorced,3,534,70674,Poor,2,0
25,Male,784009,Student,High School,With Parents,Single,30,548,822733,Good,3,0
33,Male,403278,Student,Graduate,Rented,Married,29,355,706073,Good,5,0
27,Male,1044358,Government,High School,Owned,Single,12,849,470405,Good,1,1
38,Female,723882,Working,Graduate,With Parents,Single,3,853,876638,Good,0,0
36,Male,1052312,Student,Graduate,Owned,Married,3,468,397382,Good,3,0
37,Female,798210,Student,Post Graduate,With Parents,Divorced,31,458,199122,Good,0,0
58,Male,1768618,Government,High School,Owned,Divorced,30,814,964047,Poor,1,0
24,Male,1985394,Business,High School,With Parents,Single,15,713,125710,Poor,4,0
36,Male,1498937,Working,Graduate,With Parents,Divorced,33,623,980110,Good,5,0
41,Male,757034,Student,High School,With Parents,Divorced,19,768,331535,Poor,0,0
21,Female,1502665,Working,High School,With Parents,Single,32,571,138890,Poor,0,0
36,Female,797661,Business,Graduate,With Parents,Divorced,19,841,8203,Good,4,1
40,Male,481628,Government,High School,Owned,Divorced,35,459,285577,Good,1,0
42,Male,1641785,Government,Post Graduate,Rented,Married,3,394,665095,Good,2,0
23,Male,899518,Business,Post Graduate,Rented,Single,28,864,739945,Good,0,0
28,Male,1649173,Business,Post Graduate,Owned,Married,35,451,450664,Good,2,0
44,Male,950380,Business,Post Graduate,Owned,Divorced,6,662,818011,Good,3,0
60,Male,696474,Business,High School,Rented,Single,11,640,820391,Poor,5,0
36,Female,533862,Working,Graduate,Owned,Married,14,504,856253,Poor,2,0
40,Male,667504,Working,Post Graduate,Owned,Married,21,585,906339,Good,2,0
43,Female,1625052,Government,High School,Owned,Married,11,894,278361,Good,4,1
48,Female,1727869,Government,Graduate,With Parents,Divorced,7,694,943199,Good,2,1
23,Female,203546,Business,Graduate,Rented,Single,21,621,695612,Poor,5,0
40,Female,1598575,Student,Graduate,Rented,Divorced,18,867,133470,Good,5,1
45,Male,1490828,Government,Graduate,With Parents,Single,19,593,220392,Good,4,0
59,Female,1175150,Student,Graduate,With Parents,Single,32,784,832291,Poor,5,0
31,Male,795143,Government,High School,Owned,Divorced,19,530,845742,Good,0,0
23,Male,1196433,Working,Graduate,Rented,Divorced,12,693,518392,Good,1,1
21,Male,1832465,Student,High School,Owned,Divorced,33,775,52657,Good,0,1
50,Male,1880692,Student,Post Graduate,With Parents,Divorced,20,753,642412,Poor,4,0
48,Female,533778,Student,Graduate,Rented,Single,17,833,508136,Good,2,0
49,Male,1696412,Government,High School,Rented,Married,20,853,84491,Good,1,1
45,Male,1681468,Business,High School,Rented,Married,21,855,488557,Good,1,1
47,Female,1814378,Working,Post Graduate,Rented,Married,0,660,313118,Good,3,1
55,Male,1223891,Business,Graduate,Rented,Married,1,698,352457,Good,3,1
31,Female,467654,Working,Graduate,With Parents,Divorced,1,385,673971,Good,3,0
32,Male,745587,Student,Graduate,Owned,Married,20,645,798207,Poor,2,0
47,Female,1950935,Working,Graduate,Owned,Divorced,34,353,998160,Good,5,0
25,Male,1781741,Working,High School,Owned,Single,9,544,132352,Good,0,0
57,Male,1175246,Government,Graduate,Owned,Divorced,7,467,326147,Good,0,0
40,Female,1031844,Business,High School,With Parents,Divorced,15,404,731059,Good,5,0
59,Male,1869809,Working,Graduate,With Parents,Married,23,370,530538,Good,0,0
47,Female,421331,Student,Graduate,With Parents,Married,9,745,184692,Good,5,1
